state,district,
AN,Nicobar,
AN,North and Middle Andaman,
AN,South Andaman,
AP,Anantapur,
AP,Chittoor,
AP,East Godavari,
AP,Guntur,
AP,Kadapa,
AP,Krishna,
AP,Kurnool,
AP,Prakasam,
AP,Sri Potti Sriramulu Nellore,
AP,Srikakulam,
AP,Visakhapatnam,
AP,Vizianagaram,
AP,West Godavari,
AR,Anjaw,
AR,Changlang,
AR,East Kameng,
AR,East Siang,
AR,Kamle,
AR,Kra Daadi,
AR,Kurung Kumey,
AR,Lohit,
AR,Longding,
AR,Lower Dibang Valley,
AR,Lower Siang,
AR,Lower Subansiri,
AR,Namsai,
AR,Papum Pare,
AR,Siang,
AR,Tawang,
AR,Tirap,
AR,Upper Dibang Valley,
AR,Upper Siang,
AR,Upper Subansiri,
AR,West Kameng,
AR,West Siang,
AS,Baksa,
AS,Barpeta,
AS,Bishwanath,
AS,Bongaigaon,
AS,Cachar,
AS,Charaideo,
AS,Chirang,
AS,Darrang,
AS,Dhemaji,
AS,Dhubri,
AS,Dibrugarh,
AS,Dima Hasao,
AS,Goalpara,
AS,Golaghat,
AS,Hailakandi,
AS,Hojai,
AS,Jorhat,
AS,Kamrup,
AS,Kamrup Metropolitan,
AS,Karbi Anglong,
AS,Karimganj,
AS,Kokrajhar,
AS,Lakhimpur,
AS,Majuli[9],
AS,Morigaon,
AS,Nagaon,
AS,Nalbari,
AS,Sivasagar,
AS,South Salmara-Mankachar,
AS,Sonitpur,
AS,Tinsukia,
AS,Udalguri,
AS,West Karbi Anglong,
BR,Araria,
BR,Arwal,
BR,Aurangabad (Bihar),
BR,Banka,
BR,Begusarai,
BR,Bhagalpur,
BR,Bhojpur,
BR,Buxar,
BR,Darbhanga,
BR,East Champaran,
BR,Gaya,
BR,Gopalganj,
BR,Jamui,
BR,Jehanabad,
BR,Kaimur,
BR,Katihar,
BR,Khagaria,
BR,Kishanganj,
BR,Lakhisarai,
BR,Madhepura,
BR,Madhubani,
BR,Munger,
BR,Muzaffarpur,
BR,Nalanda,
BR,Nawada,
BR,Patna,
BR,Purnia,
BR,Rohtas,
BR,Saharsa,
BR,Samastipur,
BR,Saran,
BR,Sheikhpura,
BR,Sheohar,
BR,Sitamarhi,
BR,Siwan,
BR,Supaul,
BR,Vaishali,
BR,West Champaran,
CH,Chandigarh,
CG,Balod,
CG,Baloda Bazar,
CG,Balrampur,
CG,Bastar,
CG,Bemetara,
CG,Bijapur,
CG,Bilaspur,
CG,Dantewada,
CG,Dhamtari,
CG,Durg,
CG,Gariaband,
CG,Janjgir-Champa,
CG,Jashpur,
CG,Kabirdham  (formerly Kawardha),
CG,Kanker,
CG,Kondagaon,
CG,Korba,
CG,Koriya,
CG,Mahasamund,
CG,Mungeli,
CG,Narayanpur,
CG,Raigarh,
CG,Raipur,
CG,Rajnandgaon,
CG,Sukma,
CG,Surajpur,
CG,Surguja,
DN,Dadra and Nagar Haveli,
DD,Daman,
DD,Diu,
DL,Central Delhi,
DL,East Delhi,
DL,New Delhi,
DL,North Delhi,
DL,North East Delhi,
DL,North West Delhi,
DL,South Delhi,
DL,South West Delhi,
DL,West Delhi,
GA,North Goa,
GA,South Goa,
GJ,Ahmedabad,
GJ,Amreli,
GJ,Anand,
GJ,Aravalli,
GJ,Banaskantha,
GJ,Bharuch,
GJ,Bhavnagar,
GJ,Botad,
GJ,Chhota Udaipur,
GJ,Dahod,
GJ,Dang,
GJ,Devbhoomi Dwarka,
GJ,Gandhinagar,
GJ,Gir Somnath,
GJ,Jamnagar,
GJ,Junagadh,
GJ,Kheda,
GJ,Kutch,
GJ,Mahisagar,
GJ,Mehsana,
GJ,Morbi,
GJ,Narmada,
GJ,Navsari,
GJ,Panchmahal,
GJ,Patan,
GJ,Porbandar,
GJ,Rajkot,
GJ,Sabarkantha,
GJ,Surat,
GJ,Surendranagar,
GJ,Tapi,
GJ,Vadodara,
GJ,Valsad,
HR,Ambala,
HR,Bhiwani,
HR,Charkhi Dadri,
HR,Faridabad,
HR,Fatehabad,
HR,Gurgaon,
HR,Hissar,
HR,Jhajjar,
HR,Jind,
HR,Kaithal,
HR,Karnal,
HR,Kurukshetra,
HR,Mahendragarh,
HR,Nuh,
HR,Palwal,
HR,Panchkula,
HR,Panipat,
HR,Rewari,
HR,Rohtak,
HR,Sirsa,
HR,Sonipat,
HR,Yamuna Nagar,
HP,Bilaspur,
HP,Chamba,
HP,Hamirpur,
HP,Kangra,
HP,Kinnaur,
HP,Kullu,
HP,Lahaul and Spiti,
HP,Mandi,
HP,Shimla,
HP,Sirmaur,
HP,Solan,
HP,Una,
JK,Anantnag,
JK,Bandipora,
JK,Baramulla,
JK,Badgam,
JK,Doda,
JK,Ganderbal,
JK,Jammu,
JK,Kathua,
JK,Kishtwar,
JK,Kulgam,
JK,Kupwara,
JK,Poonch,
JK,Pulwama,
JK,Rajouri,
JK,Ramban,
JK,Reasi,
JK,Samba,
JK,Shopian,
JK,Srinagar,
JK,Udhampur,
JH,Bokaro,
JH,Chatra,
JH,Deoghar,
JH,Dhanbad,
JH,Dumka,
JH,East Singhbhum,
JH,Garhwa,
JH,Giridih,
JH,Godda,
JH,Gumla,
JH,Hazaribag,
JH,Jamtara,
JH,Khunti,
JH,Koderma,
JH,Latehar,
JH,Lohardaga,
JH,Pakur,
JH,Palamu,
JH,Ramgarh,
JH,Ranchi,
JH,Sahibganj,
JH,Seraikela Kharsawan,
JH,Simdega,
JH,West Singhbhum,
KA,Bagalkot,
KA,Ballari,
KA,Belagavi,
KA,Bengaluru Rural,
KA,Bangalore,
KA,Bidar,
KA,Chamarajnagar,
KA,Chikkaballapur,
KA,Chikkamagaluru,
KA,Chitradurga,
KA,Dakshina Kannada,
KA,Davanagere,
KA,Dharwad,
KA,Gadag,
KA,Hassan,
KA,Haveri,
KA,Kalaburagi,
KA,Kodagu,
KA,Kolar,
KA,Koppal,
KA,Mandya,
KA,Mysuru,
KA,Raichur,
KA,Ramanagara,
KA,Shivamogga,
KA,Tumakuru,
KA,Udupi,
KA,Uttara Kannada,
KA,Vijayapura,
KA,Yadgir,
KL,Alappuzha,http://www.alappuzha.nic.in/
KL,Ernakulam,http://ernakulam.nic.in/
KL,Idukki,http://idukki.nic.in/
KL,Kannur,http://kannur.nic.in/
KL,Kasaragod,http://kasargod.nic.in/
KL,Kollam,http://kollam.nic.in/
KL,Kottayam,http://kottayam.nic.in/
KL,Kozhikode,http://kozhikode.nic.in/
KL,Malappuram,http://malappuram.nic.in/
KL,Palakkad,http://palakkad.nic.in/
KL,Pathanamthitta,http://pathanamthitta.nic.in/
KL,Thrissur,http://thrissur.nic.in/
KL,Thiruvananthapuram,http://www.trivandrum.gov.in//
KL,Wayanad,http://wayanad.nic.in/
LA,Leh,
LA,Kargil,
LD,Lakshadweep,
MP,Agar Malwa,
MP,Alirajpur,
MP,Anuppur,
MP,Ashok Nagar,
MP,Balaghat,
MP,Barwani,
MP,Betul,
MP,Bhind,
MP,Bhopal,
MP,Burhanpur,
MP,Chhatarpur,
MP,Chhindwara,
MP,Damoh,
MP,Datia,
MP,Dewas,
MP,Dhar,
MP,Dindori,
MP,Guna,
MP,Gwalior,
MP,Harda,
MP,Hoshangabad,
MP,Indore,
MP,Jabalpur,
MP,Jhabua,
MP,Katni,
MP,Khandwa (East Nimar),
MP,Khargone (West Nimar),
MP,Mandla,
MP,Mandsaur,
MP,Morena,
MP,Narsinghpur,
MP,Neemuch,
MP,Panna,
MP,Raisen,
MP,Rajgarh,
MP,Ratlam,
MP,Rewa,
MP,Sagar,
MP,Satna,
MP,Sehore,
MP,Seoni,
MP,Shahdol,
MP,Shajapur,
MP,Sheopur,
MP,Shivpuri,
MP,Sidhi,
MP,Singrauli,
MP,Tikamgarh,
MP,Ujjain,
MP,Umaria,
MP,Vidisha,
MH,Ahmednagar,
MH,Akola,
MH,Amravati,
MH,Aurangabad,
MH,Beed,
MH,Bhandara,
MH,Buldhana,
MH,Chandrapur,
MH,Dhule,
MH,Gadchiroli,
MH,Gondia,
MH,Hingoli,
MH,Jalgaon,
MH,Jalna,
MH,Kolhapur,
MH,Latur,
MH,Mumbai City,
MH,Mumbai suburban,
MH,Nanded,
MH,Nandurbar,
MH,Nagpur,
MH,Nashik,
MH,Osmanabad,
MH,Palghar,
MH,Parbhani,
MH,Pune,
MH,Raigad,
MH,Ratnagiri,
MH,Sangli,
MH,Satara,
MH,Sindhudurg,
MH,Solapur,
MH,Thane,
MH,Wardha,
MH,Washim,
MH,Yavatmal,
MN,Bishnupur,
MN,Thoubal,
MN,Imphal East,
MN,Imphal West,
MN,Senapati,
MN,Ukhrul,
MN,Chandel,
MN,Churachandpur,
MN,Tamenglong,
MN,Jiribam,
MN,Kangpokpi (Sadar Hills),
MN,Kakching,
MN,Tengnoupal,
MN,Kamjong,
MN,Noney,
MN,Pherzawl,
ML,East Garo Hills,
ML,East Khasi Hills,
ML,East Jaintia Hills,
ML,North Garo Hills,
ML,Ri Bhoi,
ML,South Garo Hills,
ML,South West Garo Hills,
ML,South West Khasi Hills,
ML,West Jaintia Hills,
ML,West Garo Hills,
ML,West Khasi Hills,
MZ,Aizawl,
MZ,Champhai,
MZ,Kolasib,
MZ,Lawngtlai,
MZ,Lunglei,
MZ,Mamit,
MZ,Saiha,
MZ,Serchhip,
NL,Dimapur,
NL,Kiphire,
NL,Kohima,
NL,Longleng,
NL,Mokokchung,
NL,Mon,
NL,Peren,
NL,Phek,
NL,Tuensang,
NL,Wokha,
NL,Zunheboto,
OD,Angul,
OD,Boudh (Bauda),
OD,Bhadrak,
OD,Balangir,
OD,Bargarh (Baragarh),
OD,Balasore,
OD,Cuttack,
OD,Debagarh (Deogarh),
OD,Dhenkanal,
OD,Ganjam,
OD,Gajapati,
OD,Jharsuguda,
OD,Jajpur,
OD,Jagatsinghpur,
OD,Khordha,
OD,Kendujhar (Keonjhar),
OD,Kalahandi,
OD,Kandhamal,
OD,Koraput,
OD,Kendrapara,
OD,Malkangiri,
OD,Mayurbhanj,
OD,Nabarangpur,
OD,Nuapada,
OD,Nayagarh,
OD,Puri,
OD,Rayagada,
OD,Sambalpur,
OD,Subarnapur (Sonepur),
OD,Sundargarh,
PY,Karaikal,
PY,Mahe,
PY,Pondicherry,
PY,Yanam,
PB,Amritsar,
PB,Barnala,
PB,Bathinda,
PB,Firozpur,
PB,Faridkot,
PB,Fatehgarh Sahib,
PB,Fazilka,
PB,Gurdaspur,
PB,Hoshiarpur,
PB,Jalandhar,
PB,Kapurthala,
PB,Ludhiana,
PB,Mansa,
PB,Moga,
PB,Sri Muktsar Sahib,
PB,Pathankot,
PB,Patiala,
PB,Rupnagar,
PB,Sahibzada Ajit Singh Nagar,
PB,Sangrur,
PB,Shahid Bhagat Singh Nagar,
PB,Tarn Taran,
RJ,Ajmer,
RJ,Alwar,
RJ,Bikaner,
RJ,Barmer,
RJ,Banswara,
RJ,Bharatpur,
RJ,Baran,
RJ,Bundi,
RJ,Bhilwara,
RJ,Churu,
RJ,Chittorgarh,
RJ,Dausa,
RJ,Dholpur,
RJ,Dungarpur,
RJ,Ganganagar,
RJ,Hanumangarh,
RJ,Jhunjhunu,
RJ,Jalore,
RJ,Jodhpur,
RJ,Jaipur,
RJ,Jaisalmer,
RJ,Jhalawar,
RJ,Karauli,
RJ,Kota,
RJ,Nagaur,
RJ,Pali,
RJ,Pratapgarh,
RJ,Rajsamand,
RJ,Sikar,
RJ,Sawai Madhopur,
RJ,Sirohi,
RJ,Tonk,
RJ,Udaipur,
SK,East Sikkim,
SK,North Sikkim,
SK,South Sikkim,
SK,West Sikkim,
TN,Ariyalur,https://web.archive.org/web/20090511085214/http://municipality.tn.gov.in/ariyalur/
TN,Chennai,http://www.chennai.tn.nic.in/
TN,Coimbatore,http://www.coimbatore.tn.nic.in/
TN,Cuddalore,http://www.cuddalore.tn.nic.in/
TN,Dharmapuri,http://www.dharmapuri.tn.nic.in/
TN,Dindigul,http://www.dindigul.tn.nic.in/
TN,Erode,http://erode.nic.in/
TN,Kanchipuram,http://www.kanchi.tn.nic.in/
TN,Kanyakumari,http://www.kanyakumari.tn.nic.in/
TN,Karur,http://karur.nic.in/
TN,Krishnagiri,http://krishnagiri.nic.in/
TN,Madurai,http://www.madurai.tn.nic.in/
TN,Nagapattinam,http://www.nagapattinam.tn.nic.in/
TN,Nilgiris,http://nilgiris.nic.in/
TN,Namakkal,http://namakkal.nic.in/
TN,Perambalur,http://www.perambalur.tn.nic.in/
TN,Pudukkottai,http://pudukkottai.nic.in/
TN,Ramanathapuram,http://ramanathapuram.nic.in/
TN,Salem,http://salem.nic.in/
TN,Sivaganga,http://sivaganga.nic.in/
TN,Tirupur,http://tiruppurcorp.tn.gov.in/[permanent dead link]
TN,Tiruchirappalli,http://tiruchirappalli.nic.in/
TN,Theni,http://www.theni.tn.nic.in/
TN,Tirunelveli,http://www.nellai.tn.nic.in/
TN,Thanjavur,http://thanjavur.nic.in/
TN,Thoothukudi,http://thoothukudi.nic.in/
TN,Tiruvallur,http://www.tiruvallur.tn.nic.in/
TN,Tiruvarur,http://www.tiruvarur.tn.nic.in/
TN,Tiruvannamalai,http://www.tiruvannamalai.tn.nic.in/
TN,Vellore,http://vellore.nic.in/
TN,Viluppuram,http://www.viluppuram.tn.nic.in/
TN,Virudhunagar,http://www.virudhunagar.tn.nic.in/
TS,Adilabad,
TS,Komaram Bheem Asifabad,
TS,Bhadradri Kothagudem,
TS,Hyderabad,
TS,Jagtial,
TS,Jangaon,
TS,Jayashankar Bhupalpally,
TS,Jogulamba Gadwal,
TS,Kamareddy,
TS,Karimnagar,
TS,Khammam,
TS,Mahabubabad,
TS,Mahbubnagar,
TS,Mancherial,
TS,Medak,
TS,Medchal,
TS,Nalgonda,
TS,Nagarkurnool,
TS,Nirmal,
TS,Nizamabad,
TS,Peddapalli,
TS,Rajanna Sircilla,
TS,Ranga Reddy,
TS,Sangareddy,
TS,Siddipet,
TS,Suryapet,
TS,Vikarabad,
TS,Wanaparthy,
TS,Warangal (urban),
TS,Warangal (rural),
TS,Yadadri Bhuvanagiri,
TR,Dhalai,
TR,Gomati,
TR,Khowai,
TR,North Tripura,
TR,Sepahijala,
TR,South Tripura,
TR,Unokoti,
TR,West Tripura,
UP,Agra,
UP,Aligarh,
UP,Prayagraj (Allahabad),
UP,Ambedkar Nagar,
UP,Amethi (Chhatrapati Shahuji Maharaj Nagar),
UP,Amroha (Jyotiba Phule Nagar),
UP,Auraiya,
UP,Azamgarh,
UP,Bagpat,
UP,Bahraich,
UP,Ballia,
UP,Balrampur,
UP,Banda,
UP,Barabanki,
UP,Bareilly,
UP,Basti,
UP,Bijnor,
UP,Budaun,
UP,Bulandshahr,
UP,Chandauli,
UP,Chitrakoot,
UP,Deoria,
UP,Etah,
UP,Etawah,
UP,Faizabad,
UP,Farrukhabad,
UP,Fatehpur,
UP,Firozabad,
UP,Gautam Buddh Nagar,
UP,Ghaziabad,
UP,Ghazipur,
UP,Gonda,
UP,Gorakhpur,
UP,Hamirpur,
UP,Hapur (Panchsheel Nagar),
UP,Hardoi,
UP,Hathras (Mahamaya Nagar),
UP,Jalaun,
UP,Jaunpur,
UP,Jhansi,
UP,Kannauj,
UP,Kanpur Dehat (Ramabai Nagar),
UP,Kanpur Nagar,
UP,Kasganj (Kanshi Ram Nagar),
UP,Kaushambi,
UP,Kushinagar,
UP,Lakhimpur Kheri,
UP,Lalitpur,
UP,Lucknow,
UP,Maharajganj,
UP,Mahoba,
UP,Mainpuri,
UP,Mathura,
UP,Mau,
UP,Meerut,
UP,Mirzapur,
UP,Moradabad,
UP,Muzaffarnagar,
UP,Pilibhit,
UP,Pratapgarh,
UP,Raebareli,
UP,Rampur,
UP,Saharanpur,
UP,Sambhal (Bheem Nagar),
UP,Sant Kabir Nagar,
UP,Bhadohi,
UP,Shahjahanpur,
UP,Shamli,
UP,Shravasti,
UP,Siddharthnagar,
UP,Sitapur,
UP,Sonbhadra,
UP,Sultanpur,
UP,Unnao,
UP,Varanasi,
UK,Almora,
UK,Bageshwar,
UK,Chamoli,
UK,Champawat,
UK,Dehradun,
UK,Haridwar,
UK,Nainital,
UK,Pauri Garhwal,
UK,Pithoragarh,
UK,Rudraprayag,
UK,Tehri Garhwal,
UK,Udham Singh Nagar,
UK,Uttarkashi,
WB,Alipurduar,
WB,Bankura,
WB,Paschim Bardhaman,
WB,Purba Bardhaman,
WB,Birbhum,
WB,Cooch Behar,
WB,Dakshin Dinajpur,
WB,Darjeeling,
WB,Hooghly,
WB,Howrah,
WB,Jalpaiguri,
WB,Jhargram,
WB,Kalimpong,
WB,Kolkata,
WB,Maldah,
WB,Murshidabad,
WB,Nadia,
WB,North 24 Parganas,
WB,Paschim Medinipur,
WB,Purba Medinipur,
WB,Purulia,
WB,South 24 Parganas,
WB,Uttar Dinajpur,
